FID_g200,G200_REGIO,G200_NUM,G200_BIOME,FID_WWW_ed,OBJECTID,NAME,at_risk,Map_number,COUNTRY,TYPE,Region,FID_1,CONTINENT,sq_km
104,Rio Negro-Juru├í Moist Forests,44,1,46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,AAO,6,South America,64795
105,Russian Far East Broadleaf and Mixed Forests,71,4,65,94,Northeast Asia Tiger Stronghold,,,"Russia, China","WCS areas of work, F",Temperate Asia,2,Asia,165972
107,Sierra Madre Oriental and Occidental Pine-Oak Fo,61,3,105,147,Greater Gila,,,USA,,,4,North America,57
110,Solomons-Vanuatu-Bismarck Moist Forests,16,1,71,102,New Ireland Seascape,,,Papua New Guinea,WCS areas of work,Melanesia,5,Oceania,2615
110,Solomons-Vanuatu-Bismarck Moist Forests,16,1,72,103,West-Central Solomons Land-Seascape,,,Solomon Islands,WCS areas of work,Melanesia,5,Oceania,4135
111,Sonoran-Baja Deserts,130,13,105,147,Greater Gila,,,USA,,,4,North America,11417
112,South American Pacific Mangroves,142,14,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,6,South America,1472
112,South American Pacific Mangroves,142,14,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,4,North America,204
119,Southern Pacific Islands Forests,49,1,73,105,Vatu-i-Ra Seascape,,,Fiji,WCS areas of work,Melanesia,5,Oceania,7834
122,Southwestern Amazonian Moist Forests,47,1,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,6,South America,50784
122,Southwestern Amazonian Moist Forests,47,1,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,AAO,6,South America,38325
124,Southwestern Ghats Moist Forest,20,1,68,99,Western Ghats,,,India,,South Asia,2,Asia,36506
126,Sudanian Savannas,89,7,22,24,Rey Bouba,,,Cameroon,WCS areas of work,Central Africa,1,Africa,498
126,Sudanian Savannas,89,7,23,25,Mayo-Bidjou,,,Cameroon,WCS areas of work,Central Africa,1,Africa,567
126,Sudanian Savannas,89,7,24,26,Campement des Rh,,,Cameroon,WCS areas of work,Central Africa,1,Africa,418
126,Sudanian Savannas,89,7,25,27,Mayo-Nduele,,,Cameroon,WCS areas of work,Central Africa,1,Africa,1145
126,Sudanian Savannas,89,7,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,1,Africa,634
126,Sudanian Savannas,89,7,27,29,Mayo-Oldiri-Nord,,,Cameroon,WCS areas of work,Central Africa,1,Africa,124
126,Sudanian Savannas,89,7,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,1,Africa,733
126,Sudanian Savannas,89,7,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,1,Africa,2086
126,Sudanian Savannas,89,7,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,1,Africa,726
126,Sudanian Savannas,89,7,49,64,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,11918
126,Sudanian Savannas,89,7,50,65,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,586
126,Sudanian Savannas,89,7,51,66,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,2598
126,Sudanian Savannas,89,7,52,67,Central African Republic,,,Central African Republic,WCS areas of work,Sudano-Sahel,1,Africa,98897
127,Sudd-Sahelian Flooded Grasslands and Savannas,97,9,48,63,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,1348
127,Sudd-Sahelian Flooded Grasslands and Savannas,97,9,49,64,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,3600
127,Sudd-Sahelian Flooded Grasslands and Savannas,97,9,50,65,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,8352
127,Sudd-Sahelian Flooded Grasslands and Savannas,97,9,51,66,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,5131
128,Sulawesi Moist Forests,12,1,104,146,,,,Indonesia,,,2,Asia,13137
129,Sumatran Islands Lowland and Montane Forests,26,1,98,138,,,,Indonesia,,,2,Asia,1928
129,Sumatran Islands Lowland and Montane Forests,26,1,99,139,,,,Indonesia,,,2,Asia,23801
129,Sumatran Islands Lowland and Montane Forests,26,1,102,144,,,,Indonesia,,,2,Asia,42519
130,Sundarbans Mangroves,139,14,66,95,Sunderbans,,,Bangladesh,,South Asia,2,Asia,7190
133,Talamancan-Isthmian Pacific Forests,38,1,57,81,,,,"Cost Rica, Panama",Partners work here,Mesoamerica,4,North America,12121
136,Tibetan Plateau Steppe,110,10,64,93,Changtang,,,China,"WCS areas of work, J",Temperate Asia,2,Asia,633480
136,Tibetan Plateau Steppe,110,10,91,128,ESHKASHIM,,,Afghanistan,,,2,Asia,38
136,Tibetan Plateau Steppe,110,10,92,129,WAKHAN,,,Afghanistan,,,2,Asia,4061
136,Tibetan Plateau Steppe,110,10,93,130,ZEBAK,,,Afghanistan,,,2,Asia,603
137,Tumbesian-Andean Valleys Dry Forests,57,2,43,57,Western-Central Andes,,,Colombia,WCS areas of work,AAO,6,South America,6382
137,Tumbesian-Andean Valleys Dry Forests,57,2,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,6,South America,11
139,Valdivian Temperate Rain Forests / Juan Fern├índ,76,4,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,Patagonia,6,South America,5276
