FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
66,40060,40060000000,0,971,971,341.776809785,238.716999557,13691579,972,0,896,297
67,40794,40794000000,0,393,393,130.640878561,101.74061837,5329364,394,0,374,109
68,39059,39059000000,0,933,933,282.706597711,145.827982031,11042237,893,299,545,278
69,20464,20464000000,0,585,585,190.020132916,120.837856299,3888572,586,92,522,174
70,2422,2422000000,0,370,370,162.177952106,110.598910641,392795,359,0,26,181
71,28750,28750000000,0,766,766,235.498469565,160.773797934,6770581,711,114,597,185
72,113437,113437000000,0,990,990,295.994649012,168.308446314,33576745,990,299,719,294
73,32781,32781000000,0,896,896,350.823098746,180.079860631,11500332,893,421,703,351
74,212152,212152000000,0,1000,1000,399.589313323,217.823581513,84773672,1001,0,919,356
75,12587,12587000000,1,568,567,180.33971558,110.277375275,2269936,496,26,7,166
76,33372,33372000000,0,437,437,148.781972911,108.289683574,4965152,438,0,437,127
77,28459,28459000000,0,378,378,151.212375698,89.5459270178,4303353,378,0,362,161
78,26311,26311000000,0,907,907,264.15522025,181.993940937,6950188,886,250,641,230
79,60212,60212000000,0,905,905,268.149172922,156.346709479,16145798,877,248,846,244
80,20226,20226000000,0,656,656,259.269751805,163.461923296,5243990,649,0,627,247
81,66505,66505000000,0,685,685,192.496729569,110.937480322,12801995,656,239,477,210
82,58429,58429000000,0,847,847,261.938266956,123.039871367,15304791,800,295,597,264
83,56455,56455000000,0,585,585,255.039589053,106.470745777,14398260,573,299,464,272
84,91863,91863000000,0,965,965,169.605978468,230.220754188,15580514,966,0,518,80
85,763,763000000,8,391,383,188.505897772,55.1301655653,143830,201,201,8,190
86,766,766000000,12,577,565,362.308093995,103.498787785,277528,276,440,12,393
87,38949,38949000000,0,659,659,139.719479319,110.062815867,5441934,596,171,502,133
88,8186,8186000000,0,85,85,14.0243097972,17.9807568854,114803,86,1,58,7
89,89424,89424000000,0,420,420,18.5765789945,28.9129141835,1661192,294,1,151,6
90,14285,14285000000,0,151,151,35.5871893595,37.0768461512,508363,152,1,144,18
91,5574,5574000000,2,511,509,143.696627198,130.176321868,800965,494,7,212,109
92,112461,112461000000,0,903,903,137.518215203,167.060755428,15465436,902,2,792,72
93,46496,46496000000,0,915,915,179.83017894,204.432382358,8361384,911,5,712,104
94,58135,58135000000,0,782,782,100.164943666,128.539814042,5823089,736,5,474,42
95,200223,200223000000,0,957,957,87.9172522637,138.988643745,17603056,958,2,881,26
96,166016,166016000000,0,996,996,553.813560139,308.684859631,91941912,997,942,0,589
97,19699,19699000000,12,904,892,449.951520382,172.189816173,8863595,814,432,23,472
98,2568,2568000000,0,640,640,317.883566978,120.452686816,816325,398,284,6,300
99,6781,6781000000,101,1000,899,878.388733225,218.981728438,5956354,551,1000,111,999
100,70880,70880000000,23,1000,977,900.698321106,178.260000867,63841497,906,1000,52,982
101,355680,355680000000,0,1000,1000,938.824015969,153.962745705,333920926,989,1000,0,1000
102,138339,138339000000,4,1000,996,886.812236607,189.750025765,122680718,948,1000,9,981
103,108460,108460000000,8,1000,992,825.164512263,234.69624331,89497343,968,1000,31,933
106,518993,518993000000,0,977,977,331.062696414,243.820395859,171819222,978,67,975,285
107,664129,664129000000,0,984,984,193.336606292,192.939613786,128400447,985,200,892,127
108,26743,26743000000,0,25,25,2.4719365815,2.2696596796,66107,26,2,25,2
109,58505,58505000000,0,48,48,2.471788736,3.8780788482,144612,49,1,48,2
110,103951,103951000000,0,170,170,20.3936662466,31.6456202475,2119942,170,1,167,5
111,65886,65886000000,0,60,60,12.9146100841,14.9600686744,850892,61,1,60,6
112,68969,68969000000,0,258,258,5.6057649089,11.3591619762,386624,144,1,78,2
113,3724,3724000000,0,12,12,1.2448979592,1.2512778711,4636,13,0,10,1
114,3364896,3364896000000,0,1000,1000,645.944019667,333.569872707,2173534448,1001,1000,775,669
115,500954,500954000000,0,998,998,394.188103099,241.473304675,197470107,999,87,906,375
116,1095907,1095907000000,0,1000,1000,366.507966461,272.364559295,401658646,1001,1000,892,274
117,126159,126159000000,0,998,998,541.729904327,262.982571184,68344103,999,817,14,591
118,13501,13501000000,0,200,200,25.8520109622,31.4137378475,349028,151,3,141,13
119,82033,82033000000,0,431,431,89.4087379469,76.8280778474,7334467,428,27,391,52
