FID_wwf_bi,BIOME,biome2,name,area,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name_1,Region,WCS_SH,Reason,sq_km
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,54,91,,,"Cambodia, Thailand",,0,,,Greater Mekong,1,,1010
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,55,92,,,Cambodia,,0,,,Greater Mekong,1,,28017
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,56,93,,,Laos,,0,,,Greater Mekong,1,,94291
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,57,96,,,Myanmar,,0,,,Greater Mekong,1,,54239
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,58,100,,,Myanmar y Thailand,,0,,,Greater Mekong,1,,111283
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,84,0,,,Malaysia,,0,,,,0,,62744
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,85,0,,,Malaysia,,0,,,,0,,761
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,86,0,,,Malaysia,,0,,,,0,,765
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,87,0,,,Malaysia,,0,,,,0,,35147
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,88,0,,,Philippines,,0,,,,0,,7761
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,89,0,,,Philippines,,0,,,,0,,89304
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,90,0,,,Philippines,,0,,,,0,,14178
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,91,0,,,Indonesia,,0,,,,0,,5699
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,92,0,,,Indonesia,,0,,,,0,,112715
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,93,0,,,Indonesia,,0,,,,0,,42107
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,94,0,,,Indonesia,,0,,,,0,,57851
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,95,0,,,Indonesia,,0,,,,0,,197568
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,96,0,,,Indonesia,,0,,,,0,,166043
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,97,0,,,Malaysia,,0,,,,0,,19686
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,98,0,,,Malaysia,,0,,,,0,,2569
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,106,0,,,,,0,,,,0,,487736
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,108,0,,,,,0,,,,0,,4234
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,109,0,,,,,0,,,,0,,15554
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,110,0,,,,,0,,,,0,,74039
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,111,0,,,,,0,,,,0,,52898
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,112,0,,,,,0,,,,0,,17027
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,114,0,,,,,0,,,,0,,3123347
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,115,0,,,,,0,,,,0,,5730
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,118,0,Fiji,,,,0,,Fiji Stronghold,,1,,11150
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,119,0,Solomon Islands,,,,0,,Bismarck-Solomon,,1,,80826
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,18,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,12
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,19,23,,,Colombia,,0,,Central Andes,AAO,1,,10324
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,20,24,,,Colombia,,0,,Orinoqu├¡a,AAO,1,,3858
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,21,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,480
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,22,31,,,Colombia,,0,,Sierra Nevada de Santa Marta,AAO,0,,4231
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,23,32,,,Colombia y Venezuela,,0,,Perij├í,AAO,0,,859
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,24,33,,,Colombia,,0,,Macarena - Tinig├╝a,AAO,0,,4843
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,25,38,,,Bolivia,,0,,Altiplano,AAO,0,,7653
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,30,48,,,Cuba,,0,,,Mesoamerica,1,,369
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,31,49,,,Dominican Republic,,0,,Hispanola,Mesoamerica,0,,6603
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,32,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,12620
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,33,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,2945
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,35,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,937
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,36,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,17
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,41,65,Madagascar Rainforest,,Madagascar,,0,,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",5753
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,49,80,,,India,,0,,,South Asia,1,,23245
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,50,82,,,India,,0,,,South Asia,1,,47807
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,52,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,1238
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,53,90,,,Cambodia,,0,,,Greater Mekong,0,,1986
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,54,91,,,"Cambodia, Thailand",,0,,,Greater Mekong,1,,103577
