OBJECTID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
99,2987,6.026056104,352,487,135,442.9671912,30.17062729,1323143,135,454,352,451
100,350,0.706099644,193,277,84,240.6914286,17.20404224,84242,79,252,193,243
101,66,0.133150219,97,141,44,99.5,5.246210754,6567,6,98,141,99
102,115,0.232004169,40,143,103,102.4434783,30.77243015,11781,19,96,41,96
103,180,0.36313696,45,159,114,110.9111111,15.4093366,19964,28,116,92,115
105,355,0.716186782,45,110,65,69.43380282,8.051103391,24649,21,71,45,70
106,81,0.163411632,452,480,28,472.2098765,5.757906104,38249,21,474,452,474
107,369,0.744430767,406,447,41,434.2276423,9.256196642,160230,42,441,406,438
108,163,0.328840691,429,504,75,468.5092025,20.30001,76367,64,490,429,471
109,30,0.060522827,462,496,34,476.3666667,7.078056858,14291,16,471,462,476
110,264,0.532600874,601,644,43,624.4621212,10.56789399,164858,42,619,602,623
111,470,0.94819095,500,651,151,608.5021277,31.19115729,285996,113,642,500,612
112,187,0.377258953,415,462,47,440.7486631,13.81528007,82420,48,455,415,441
116,226,0.455938627,457,485,28,467.0176991,4.296494354,105546,22,467,457,467
117,1252,2.525819298,481,576,95,527.6773163,26.53765839,660652,93,553,481,535
118,100,0.201742755,474,509,35,492.88,9.566901275,49288,36,497,474,495
119,384,0.774692181,336,564,228,470.109375,64.3363437,180522,175,551,336,483
122,317,0.639524535,511,606,95,583.2712934,18.29418456,184897,72,590,511,589
123,140,0.282439858,522,575,53,559.9428571,13.54715122,78392,45,573,522,564
124,41351,83.42264679,124,179,55,153.731131,12.93419623,6356936,56,163,124,157
125,29973,60.46835608,11,192,181,146.3713676,17.70375264,4387189,79,122,12,143
126,12010,24.22930493,205,258,53,225.6887594,11.96679622,2710522,54,212,205,225
127,15453,31.17530799,227,260,33,242.7381091,5.911057631,3751032,34,244,259,243
128,77,0.155341922,159,179,20,164.9220779,4.041236257,12699,15,161,166,164
129,557,1.123707148,122,173,51,143.9443447,11.04676486,80177,52,141,167,143
130,100,0.201742755,165,182,17,174.09,3.600263879,17409,16,174,165,174
131,101,0.203760183,146,161,15,152.5841584,3.928235758,15411,16,148,159,153
132,320,0.645576817,142,163,21,152.4875,5.349050734,48796,22,156,142,154
133,176,0.35506725,169,191,22,179.4659091,4.333927632,31586,23,180,169,180
136,71,0.143237356,155,165,10,160.9295775,2.387313557,11426,11,161,155,161
138,92,0.185603335,37,480,443,162.7282609,58.45289878,14971,17,159,38,159
139,983,1.983131286,49,550,501,499.5808749,27.51545058,491088,110,510,49,503
140,290,0.585053991,499,537,38,521.0137931,9.614992752,151094,37,530,499,524
143,173,0.349014967,441,489,48,469.1156069,12.05327477,81157,44,468,443,471
144,1718,3.465940538,433,568,135,502.1728754,31.07568642,862733,135,499,561,503
145,3608,7.278878615,40,355,315,285.9174058,39.14401245,1031590,166,309,40,299
146,545,1.099498017,42,326,284,310.1688073,34.71864554,169042,32,312,42,314
147,4915,9.915656429,251,318,67,285.7310275,15.93983103,1404368,68,287,318,287
