FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,126,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,0
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,127,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,0
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,128,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,129,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,130,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,131,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,132,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,133,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,0,1,Africa,2
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,134,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,18
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,135,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,0,1,Africa,18
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,138,89,126,Iinnii Home  Land,,,USA,WCS areas of work,,3,4,North America,1
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,139,90,127,High Divide,,,USA,WCS areas of work,,3,4,North America,1
10,11,11,Tundra,0,110,1,3,Gates of the Arctic,n,12,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
10,11,11,Tundra,0,111,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
10,11,11,Tundra,0,112,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,4
10,11,11,Tundra,0,113,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,3,4,North America,4
10,11,11,Tundra,0,116,7,9,Yukon Delta NWR,n,22,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
10,11,11,Tundra,0,117,8,10,Togiak NWR,n,23,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
10,11,11,Tundra,0,118,11,13,Colville River,y,8,USA,WCS areas of work,Arctic Beringia,3,4,North America,1064
10,11,11,Tundra,0,119,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,3,4,North America,1064
