FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
8,9,9,Flooded_grasslands_and_savannas,0,50,50,65,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,8352
8,9,9,Flooded_grasslands_and_savannas,0,51,51,66,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,5131
8,9,9,Flooded_grasslands_and_savannas,0,55,55,76,,,,Cuba,WCS areas of work,Mesoamerica,3,4,North America,1584
8,9,9,Flooded_grasslands_and_savannas,0,66,65,94,Northeast Asia Tiger Stronghold,,,"Russia, China","WCS areas of work, F",Temperate Asia,1,2,Asia,45631
9,10,10,Montane_grasslands_and_savannas,0,33,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,Patagonia,5,6,South America,2028
9,10,10,Montane_grasslands_and_savannas,0,37,37,49,Mediterraneo,,,Chile,WCS areas of work,Patagonia,5,6,South America,5743
9,10,10,Montane_grasslands_and_savannas,0,38,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,5,6,South America,6947
9,10,10,Montane_grasslands_and_savannas,0,39,39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,AAO,5,6,South America,847
9,10,10,Montane_grasslands_and_savannas,0,43,43,57,Western-Central Andes,,,Colombia,WCS areas of work,AAO,5,6,South America,3579
9,10,10,Montane_grasslands_and_savannas,0,44,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,5,6,South America,195
9,10,10,Montane_grasslands_and_savannas,0,45,45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,AAO,5,6,South America,301
9,10,10,Montane_grasslands_and_savannas,0,65,64,93,Changtang,,,China,"WCS areas of work, J",Temperate Asia,1,2,Asia,946016
9,10,10,Montane_grasslands_and_savannas,0,70,69,100,Bismarck Forest Corridor,,,Papua New Guinea,WCS areas of work,Melanesia,1,2,Asia,271
9,10,10,Montane_grasslands_and_savannas,0,85,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,5393
9,10,10,Montane_grasslands_and_savannas,0,92,91,128,ESHKASHIM,,,Afghanistan,,,1,2,Asia,388
9,10,10,Montane_grasslands_and_savannas,0,93,92,129,WAKHAN,,,Afghanistan,,,1,2,Asia,9058
9,10,10,Montane_grasslands_and_savannas,0,94,93,130,ZEBAK,,,Afghanistan,,,1,2,Asia,1219
9,10,10,Montane_grasslands_and_savannas,0,95,94,131,SAIGHAN,,,Afghanistan,,,1,2,Asia,993
9,10,10,Montane_grasslands_and_savannas,0,96,95,132,YAKAWLANG,,,Afghanistan,,,1,2,Asia,6086
9,10,10,Montane_grasslands_and_savannas,0,97,96,133,PANJSHER,,,Afghanistan,,,1,2,Asia,2694
9,10,10,Montane_grasslands_and_savannas,0,98,97,136,KAHMARD,,,Afghanistan,,,1,2,Asia,5
10,11,11,Tundra,0,0,0,2,Cape Krusenstern,n,4,USA,WCS areas of work,Arctic Beringia,3,4,North America,2608
10,11,11,Tundra,0,1,1,3,Gates of the Arctic,n,12,USA,WCS areas of work,Arctic Beringia,3,4,North America,30949
10,11,11,Tundra,0,2,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,26191
10,11,11,Tundra,0,3,3,5,Kobuk Valley,n,5,USA,WCS areas of work,Arctic Beringia,3,4,North America,2907
10,11,11,Tundra,0,4,4,6,Natural System of Wrangel Island Reserve,y,1,Russia,WCS areas of work,Arctic Beringia,1,2,Asia,7546
10,11,11,Tundra,0,5,5,7,Arctic,1002 area is,13,USA,WCS areas of work,Arctic Beringia,3,4,North America,69201
10,11,11,Tundra,0,6,6,8,Selawik NWR,n,21,USA,WCS areas of work,Arctic Beringia,3,4,North America,8114
10,11,11,Tundra,0,7,7,9,Yukon Delta NWR,n,22,USA,WCS areas of work,Arctic Beringia,3,4,North America,78290
