FID_wwf_re,REALM,sq_km,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
4,IM,8499096,97,0,,,Malaysia,,0,,,,0,,19686
4,IM,8499096,98,0,,,Malaysia,,0,,,,0,,2569
4,IM,8499096,108,0,,,,,0,,,,0,,26741
4,IM,8499096,109,0,,,,,0,,,,0,,58521
4,IM,8499096,110,0,,,,,0,,,,0,,103953
4,IM,8499096,111,0,,,,,0,,,,0,,65875
4,IM,8499096,112,0,,,,,0,,,,0,,68966
4,IM,8499096,113,79,,,India,,0,,,South Asia,0,,3710
5,NA,20491302,14,15,,,Canada,,0,,,Boreal,0,,928472
5,NA,20491302,15,16,,,Canada,,0,,,Boreal,0,,896227
5,NA,20491302,16,17,,,Canada,,0,,,Boreal,1,,791856
5,NA,20491302,17,18,,,Canada,,0,,,Boreal,1,,1158470
5,NA,20491302,59,0,,,USA y Canada,,0,,Crown of the Continent,,0,,40214
5,NA,20491302,60,0,,,USA,,0,,Greater Yellowstone,,0,,72111
5,NA,20491302,61,0,,,USA,,0,,Selmon-Selway Willderness,,0,,112688
5,NA,20491302,62,0,,,USA,,0,,Greater Gila,,0,,101628
5,NA,20491302,63,0,,,USA y Canada,,0,,Missouri Grasslands,,0,,57605
5,NA,20491302,64,0,,,USA,,0,,9,,0,,8627
5,NA,20491302,65,0,,,USA,,0,,Canyonlands,,0,,67490
5,NA,20491302,66,0,,,USA,,0,,San Juan,,0,,40060
5,NA,20491302,67,0,,,USA,,0,,Flint Hills,,0,,40804
5,NA,20491302,68,0,,,USA,,0,,4,,0,,39055
5,NA,20491302,69,0,,,USA y M├®xico,,0,,3,,0,,20463
5,NA,20491302,70,0,,,USA y M├®xico,,0,,2,,0,,2423
5,NA,20491302,71,0,,,USA y M├®xico,,0,,1,,0,,28754
5,NA,20491302,72,0,,,USA,,0,,Northeastern Great Basin Sagebrush,,0,,113411
5,NA,20491302,73,0,,,USA,,0,,11,,0,,32767
5,NA,20491302,74,0,,,USA,,0,,12,,0,,212145
