FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
67,6980,6980000000,1,394,393,52.1150429799,42.0945664478,363763,201,59,90,52
68,34233,34233000000,0,87,87,8.3543948821,13.4438948047,285996,88,1,87,3
69,72666,72666000000,0,121,121,17.6693088927,16.9264232778,1283958,122,1,121,14
70,8576,8576000000,1,265,264,88.4721315299,75.0476009853,758737,265,2,144,66
71,1590,1590000000,1,176,175,97.9616352201,57.5485721003,155759,175,149,1,106
72,2442,2442000000,1,272,271,114.095823096,93.0000166825,278622,266,21,99,76
73,3984,3984000000,1,184,183,93.3780120482,58.2999417779,372018,183,30,63,102
74,7233,7233000000,0,125,125,21.4215401631,25.3287460939,154942,120,3,109,11
75,2005,2005000000,2,155,153,90.9940149626,39.268167663,182443,143,129,32,98
76,8822,8822000000,2,845,843,268.769440036,189.743007431,2371084,792,55,437,235
77,3972,3972000000,8,757,749,269.144511581,147.720014491,1069042,598,248,10,253
78,761,761000000,2,213,211,67.3784494087,48.7004171054,51275,177,4,2,63
79,6204,6204000000,18,279,261,166.154094133,71.0232872495,1030820,251,38,22,177
80,11148,11148000000,2,608,606,230.050592034,122.638376794,2564604,576,143,2,218
81,4560,4560000000,2,187,185,100.04254386,48.7256546194,456194,186,127,2,112
82,5186,5186000000,4,417,413,184.431932125,111.21177242,956464,400,167,4,161
83,27902,27902000000,4,970,966,408.065192459,218.558423318,11385835,958,386,4,383
84,2301,2301000000,2,94,92,53.0799652325,24.9358959655,122137,92,16,20,57
85,8474,8474000000,31,667,636,430.516757139,198.288310809,3648199,622,666,35,493
86,7516,7516000000,5,442,437,242.405401809,99.4754789257,1821919,419,198,6,211
87,3427,3427000000,9,299,290,253.803326525,60.4985161214,869784,239,298,23,284
88,506651,506651000000,0,1000,1000,929.587339214,155.793497997,470976355,1000,1000,18,999
89,450492,450492000000,3,1000,997,973.825695018,85.7623017315,438700685,885,1000,3,1000
90,195559,195559000000,0,1000,1000,353.845627151,268.528869558,69197697,1001,0,938,316
91,273171,273171000000,0,1000,1000,492.357728309,307.214050139,134497853,1001,1000,751,466
92,1573,1573000000,6,350,344,126.563890655,79.0654280511,199085,279,18,6,118
93,11040,11040000000,26,821,795,396.450905797,167.827206738,4376818,671,538,26,433
94,1989,1989000000,16,381,365,211.87933635,95.5585233929,421428,341,62,16,223
95,2109,2109000000,4,163,159,61.5291607397,36.4824467663,129765,151,12,4,55
96,6563,6563000000,2,172,170,71.5169891818,52.4167695403,469366,169,7,172,63
97,3639,3639000000,2,151,149,44.0362737016,27.5718114167,160248,145,31,2,39
98,1443,1443000000,4,92,88,40.884961885,18.5161408801,58997,78,9,14,43
99,1881,1881000000,0,192,192,28.4954811271,34.4658350554,53600,153,18,96,15
100,24436,24436000000,0,695,695,45.4214683254,82.3707026348,1109919,545,1,264,12
101,7223,7223000000,0,663,663,162.326457151,142.485123966,1172484,609,8,309,135
102,4309,4309000000,29,858,829,331.422835925,161.794859639,1428101,600,284,29,293
103,42502,42502000000,0,878,878,153.37704108,174.525989588,6518831,875,6,644,91
104,86396,86396000000,0,420,420,19.0842631603,29.268617289,1648804,294,1,151,7
105,12957,12957000000,0,240,240,22.7057189164,35.9523761495,294198,234,1,153,9
106,101615,101615000000,0,981,981,356.651655759,227.593928168,36241158,982,0,922,326
107,11167,11167000000,1,821,820,201.154473001,176.432525783,2246292,743,5,346,182
108,312,312000000,37,235,198,178.916666667,51.4151601824,55822,101,233,37,196
109,973,973000000,9,362,353,97.2651593011,66.3580371504,94639,235,41,114,82
112,1,1000000,1000,1000,0,1000,0,1000,1,1000,1000,1000
114,2,2000000,1000,1000,0,1000,0,2000,1,1000,1000,1000
118,1064,1064000000,869,1000,131,964.954887218,45.8888391531,1026712,106,1000,894,995
120,38,38000000,268,292,24,287.552631579,4.7055251311,10927,14,289,268,289
126,1,1000000,92,92,0,92,0,92,1,92,92,92
128,1,1000000,90,90,0,90,0,90,1,90,90,90
130,1,1000000,147,147,0,147,0,147,1,147,147,147
132,2,2000000,100,102,2,101,1,202,2,100,100,100
134,17,17000000,27,113,86,74.5294117647,22.1123272701,1267,10,71,68,71
136,4,4000000,388,415,27,397.75,10.2804425975,1591,4,388,388,393
140,8,8000000,1,71,70,19.875,25.275667647,159,7,1,2,8
