FID_WDPA_O,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG_ENG,DESIG_TYPE,IUCN,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,SCAPENAME,PROGRAM,COUNTRY,Region,sq_km
67,91,91,Villarrica,Villarrica,National Park,National,II,Not Applicable,Designated,1941,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20manejo%202013.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,135
68,92,92,Cabo de Hornos,Cabo de Hornos,National Park,National,II,Not Applicable,Designated,1945,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,589
76,110,110,Cerro Castillo,Cerro Castillo,Parque Nacional,National,II,Not Applicable,Designated,1970,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20Reserva%20Nacional%20Cerro%20Castillo.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,1431
77,111,111,├æuble,├æuble,Forest Reserve,National,IV,Not Applicable,Designated,1979,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20%C3%91uble%201997.PDF,State Verified,1808,CL-NB,CHL,CHL,Not Applicable,Not Applicable,,,,,741
78,112,112,Alto Biob├¡o,Alto Biob├¡o,Forest Reserve,National,IV,Not Applicable,Designated,1912,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Alto_Biobio.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,0
79,113,113,Malalcahuello,Malalcahuello,Forest Reserve,National,IV,Not Applicable,Designated,1931,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20Malalcahuello%201996.PDF,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,0
80,114,114,Laguna Parrillar,Laguna Parrillar,Forest Reserve,National,IV,Not Applicable,Designated,1977,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20Laguna%20Parrillar%201989.PDF,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,222
81,115,115,Nalcas,Nalcas,Forest Reserve,National,IV,Not Applicable,Designated,1967,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Las_Nalcas.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,0
82,116,116,Magallanes,Magallanes,Forest Reserve,National,IV,Not Applicable,Designated,1932,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RF%20Magallanes%201996.PDF,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,212
85,119,119,Coyhaique,Coyhaique,Forest Reserve,National,IV,Not Applicable,Designated,1948,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Coyhaique.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,27
86,120,120,Torres del Paine,Torres del Paine,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1978,Federal or national ministry or agency,Not Reported,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,4175
1188,2224,2224,Perito Moreno,Perito Moreno,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNPFPM.pdf,State Verified,1935,AR-Z,ARG,ARG,Not Applicable,Not Applicable,,,,,953
1189,2226,2226,Bosques Petrificados,Bosques Petrificados,Nature Monument,National,III,Not Applicable,Designated,1954,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/IF-2018-60876708-APN-DRPA-APNAC.pdf,State Verified,1935,AR-Z,ARG,ARG,Not Applicable,Not Applicable,,,,,150
1301,2497,2497,Nahuel Huapi,Nahuel Huapi,National Park,National,II,Not Applicable,Designated,1934,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNNH_2019.pdf,State Verified,1935,AR-Q;AR-R,ARG,ARG,Not Applicable,Not Applicable,,,,,4764
1322,2548,2548,Laguna San Rafael,Laguna San Rafael,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Federal or national ministry or agency,Not Reported,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,19522
1329,2570,2570,Los Glaciares National Park,Parque Nacional Los Glaciares,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii),Inscribed,1981,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1852,Not Reported,ARG,ARG,Not Applicable,Not Applicable,,,,,660
1624,3371,3371,Golfo San Jos├®,Golfo San Jos├®,Tourist Nature Reserve,National,II,Not Applicable,Designated,1974,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,8
1895,4330,4330,Lan├¡n,Lan├¡n,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PlanGestionPNLanin.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,1933
2196,5196,5196,Araucarias,Araucarias,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1983,Federal or national ministry or agency,Not Reported,Corporaci├│n Nacional Forestal (CONAF),Not Rerported,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,6606
