OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,Region,WCS_SH,Reason,sq_km,sq_mile
0,,,USA,Paha Sapa,,0,,58435,22562
0,,,USA,Yellowstone Grasslands,,0,,56470,21803
0,,,Malaysia,,,0,,92032,35534
0,,,Malaysia,,,0,,761,294
0,,,Malaysia,,,0,,765,295
0,,,Malaysia,,,0,,38961,15043
0,,,Philippines,,,0,,58468,22575
0,,,Philippines,,,0,,168916,65219
0,,,Philippines,,,0,,90671,35008
0,,,Indonesia,,,0,,18173,7017
0,,,Indonesia,,,0,,120602,46565
0,,,Indonesia,,,0,,50047,19323
0,,,Indonesia,,,0,,172893,66754
0,,,Indonesia,,,0,,230512,89001
0,,,Indonesia,,,0,,166043,64110
0,,,Malaysia,,,0,,19686,7601
0,,,Malaysia,,,0,,31740,12255
0,,,Russian,,Arctic Beringia,0,,33094,12778
0,,,Russian,,Arctic Beringia,0,,85422,32982
0,,,USA,,Arctic Beringia,0,,398945,154034
0,,,USA,,Arctic Beringia,0,,195404,75446
0,,,Russian,,Arctic Beringia,0,,217470,83966
0,,,USA,,Arctic Beringia,0,,398945,154034
0,,,Russian,,Arctic Beringia,0,,33094,12778
0,,,,,,0,,531015,205026
0,,,Iran,,,0,,664144,256427
0,,,,,,0,,26741,10325
0,,,,,,0,,58521,22595
0,,,,,,0,,103953,40136
0,,,,,,0,,65875,25435
0,,,,,,0,,68966,26628
79,,,India,,South Asia,0,,3728,1439
0,,,,,,0,,3367841,1300331
0,,,,,,0,,500931,193410
0,,,,,,0,,1200735,463606
0,,,,,,0,,127867,49370
0,Fiji,,,Fiji Stronghold,,1,,199189,76907
0,Solomon Islands,,,Bismarck-Solomon,,1,,664586,256598
