FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
79,113,113,1,Malalcahuello,Malalcahuello,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1931,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20Malalcahuello%201996.PDF,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,0
80,114,114,1,Laguna Parrillar,Laguna Parrillar,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1977,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20Laguna%20Parrillar%201989.PDF,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,222
81,115,115,1,Nalcas,Nalcas,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1967,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Las_Nalcas.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,0
82,116,116,1,Magallanes,Magallanes,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1932,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RF%20Magallanes%201996.PDF,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,212
85,119,119,1,Coyhaique,Coyhaique,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1948,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Coyhaique.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,27
86,120,120,1,Torres del Paine,Torres del Paine,Reserva Bi├│sfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1978,Federal or national ministry or agency,Not Reported,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,3960
1188,2224,2224,1,Perito Moreno,Perito Moreno,Parque Nacional,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNPFPM.pdf,State Verified,1935,AR-Z,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,953
1189,2226,2226,1,Bosques Petrificados,Bosques Petrificados,Monumento Natural,Nature Monument,National,III,Not Applicable,Designated,1954,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/IF-2018-60876708-APN-DRPA-APNAC.pdf,State Verified,1935,AR-Z,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,150
1301,2497,2497,1,Nahuel Huapi,Nahuel Huapi,Parque Nacional,National Park,National,II,Not Applicable,Designated,1934,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNNH_2019.pdf,State Verified,1935,AR-Q;AR-R,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,4764
1322,2548,2548,1,Laguna San Rafael,Laguna San Rafael,Reserva Bi├│sfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Federal or national ministry or agency,Not Reported,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,14377
