FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
9760,33890,33890,1,Nove de Janeiro,Nove de Janeiro,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2001,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9764,33895,33895,1,Pirah├ú,Pirah├ú,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2001,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9765,33897,33897,1,Rio Bi├í,Rio Bi├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,4
80726,351769,351769,1,Reserva Extrativista M├®dio Juru├í,Reserva Extrativista M├®dio Juru├í,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,1997,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,4
9765,33897,33897,1,Rio Bi├í,Rio Bi├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
80730,351773,351773,1,Reserva Extrativista Do Rio Juta├¡,Reserva Extrativista Do Rio Juta├¡,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,2002,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9765,33897,33897,1,Rio Bi├í,Rio Bi├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,2
80930,352138,352138,1,Reserva De Desenvolvimento Sustent├ível Uacar├¡,Reserva De Desenvolvimento Sustent├ível Uacar├¡,Reserva de Desenvolvimento Sustent├ível,Sustainable Development Reserve,National,VI,Not Applicable,Designated,2005,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,2
9765,33897,33897,1,Rio Bi├í,Rio Bi├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
80931,352139,352139,1,Reserva De Desenvolvimento Sustent├ível Cujubim,Reserva De Desenvolvimento Sustent├ível Cujubim,Reserva de Desenvolvimento Sustent├ível,Sustainable Development Reserve,National,VI,Not Applicable,Designated,2003,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
9767,33899,33899,1,S├úo Leopoldo,S├úo Leopoldo,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9775,33910,33910,1,Tukuna Porto Espiritual,Tukuna Porto Espiritual,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1996,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9767,33899,33899,1,S├úo Leopoldo,S├úo Leopoldo,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,10
81040,352283,352283,1,Guanabara,Guanabara,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Proposed,2004,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,10
9767,33899,33899,1,S├úo Leopoldo,S├úo Leopoldo,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81051,352295,352295,1,Sururu├í,Sururu├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Proposed,2010,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9769,33904,33904,1,Tenharim Marmelos,Tenharim Marmelos,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2007,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81107,352354,352354,1,Tenharim Marmelos (Gleba B),Tenharim Marmelos (Gleba B),Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2007,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9769,33904,33904,1,Tenharim Marmelos,Tenharim Marmelos,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2007,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81114,352361,352361,1,Diahui,Diahui,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9770,33905,33905,1,Terra Vermelha,Terra Vermelha,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1997,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
80928,352136,352136,1,Reserva De Desenvolvimento Sustent├ível Piaga├ºu Purus,Reserva De Desenvolvimento Sustent├ível Piaga├ºu Purus,Reserva de Desenvolvimento Sustent├ível,Sustainable Development Reserve,National,VI,Not Applicable,Designated,2003,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9771,33906,33906,1,Betania,Betania,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1996,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81047,352291,352291,1,Marait├í,Marait├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2010,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9772,33907,33907,1,Tik├║na de Feijoal,Tik├║na de Feijoal,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2004,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81051,352295,352295,1,Sururu├í,Sururu├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Proposed,2010,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9774,33909,33909,1,├ëvare I,├ëvare I,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2010,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9780,33918,33918,1,Tukuna Umaria├ºu,Tukuna Umaria├ºu,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2001,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9777,33912,33912,1,Vui-Uata-In,Vui-Uata-In,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1998,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81049,352293,352293,1,S├úo Francisco do Canimari,S├úo Francisco do Canimari,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2009,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9779,33917,33917,1,Uati-Paran├í,Uati-Paran├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1995,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81043,352287,352287,1,S├úo Sebasti├úo,S├úo Sebasti├úo,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2005,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9779,33917,33917,1,Uati-Paran├í,Uati-Paran├í,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1995,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81067,352313,352313,1,Mapari,Mapari,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2007,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9781,33919,33919,1,Uneiuxi,Uneiuxi,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2001,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
19246,115566,115566,1,Parana do Boa Boa,Parana do Boa Boa,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9782,33920,33920,1,Vale do Javari,Vale do Javari,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,44
80931,352139,352139,1,Reserva De Desenvolvimento Sustent├ível Cujubim,Reserva De Desenvolvimento Sustent├ível Cujubim,Reserva de Desenvolvimento Sustent├ível,Sustainable Development Reserve,National,VI,Not Applicable,Designated,2003,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,44
9782,33920,33920,1,Vale do Javari,Vale do Javari,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81054,352298,352298,1,Mawetek,Mawetek,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2004,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9783,33922,33922,1,Waimiri-Atroari,Waimiri-Atroari,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RR,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
80936,352144,352144,1,├ürea De Prote├º├úo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi├í-Apuauzinho,├ürea De Prote├º├úo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi├í-Apuauzinho,├ürea de Prote├º├úo Ambiental,Environmental Protection Area,National,V,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
9783,33922,33922,1,Waimiri-Atroari,Waimiri-Atroari,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RR,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81017,352260,352260,1,Trombetas/Mapuera,Trombetas/Mapuera,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2009,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-PA,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9784,33925,33925,1,Zuruah├ú,Zuruah├ú,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1996,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
81099,352346,352346,1,Hi Merim├ú,Hi Merim├ú,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2008,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9856,34026,34026,1,Reserva Extrativista Rio Caut├írio,Reserva Extrativista Rio Caut├írio,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Desenvolvimento Ambiental de Rond├┤nia,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
9865,34039,34039,1,Rio Guapor├®,Rio Guapor├®,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1997,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
9856,34026,34026,1,Reserva Extrativista Rio Caut├írio,Reserva Extrativista Rio Caut├írio,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Desenvolvimento Ambiental de Rond├┤nia,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
9871,34045,34045,1,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1988,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
9856,34026,34026,1,Reserva Extrativista Rio Caut├írio,Reserva Extrativista Rio Caut├írio,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Desenvolvimento Ambiental de Rond├┤nia,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,11
80705,351747,351747,1,Reserva Extrativista  Do Rio Caut├írio,Reserva Extrativista  Do Rio Caut├írio,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,11
9863,34037,34037,1,Pacaas Novas,Pacaas Novas,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1995,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
80706,351748,351748,1,Parque Nacional Da Serra Da Cutia,Parque Nacional Da Serra Da Cutia,Parque,Park,National,II,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9863,34037,34037,1,Pacaas Novas,Pacaas Novas,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1995,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
80707,351749,351749,1,Reserva Extrativista Barreiro Das Antas,Reserva Extrativista Barreiro Das Antas,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9865,34039,34039,1,Rio Guapor├®,Rio Guapor├®,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1997,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9868,34042,34042,1,Sagarana,Sagarana,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9865,34039,34039,1,Rio Guapor├®,Rio Guapor├®,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1997,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,2
80706,351748,351748,1,Parque Nacional Da Serra Da Cutia,Parque Nacional Da Serra Da Cutia,Parque,Park,National,II,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,2
9866,34040,34040,1,Rio Negro Ocaia,Rio Negro Ocaia,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1981,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9871,34045,34045,1,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1988,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
9871,34045,34045,1,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1988,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,2
80705,351747,351747,1,Reserva Extrativista  Do Rio Caut├írio,Reserva Extrativista  Do Rio Caut├írio,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,2
9871,34045,34045,1,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,1988,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
80706,351748,351748,1,Parque Nacional Da Serra Da Cutia,Parque Nacional Da Serra Da Cutia,Parque,Park,National,II,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,0
11770,41089,41089,1,"Floresta Estadual De Rendimento Sustentado Do Rio Madeira ""B""","Floresta Estadual De Rendimento Sustentado Do Rio Madeira ""B""",Floresta,Forest,National,VI,Not Applicable,Designated,1996,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Desenvolvimento Ambiental de Rond├┤nia,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
80719,351762,351762,1,Esta├º├úo Ecol├│gica De Cuni├ú,Esta├º├úo Ecol├│gica De Cuni├ú,Esta├º├úo Ecol├│gica,Ecological Station,National,Ia,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,"BR-AM, RO",BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
11863,61767,61767,1,Purus,Purus,Reserva Comunal,Communal Reserve,National,VI,Not Applicable,Designated,2004,Government-delegated management,State,Servicio Nacional de ├üreas Naturales Protegidas por el estado (SERNANP),http://sis.sernanp.gob.pe/biblioteca/?publicacion=1819,State Verified,1811,PE-UCA,PER,PER,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,12
80798,351842,351842,1,Parque Estadual Chandless,Parque Estadual Chandless,Parque,Park,National,II,Not Applicable,Designated,2004,Sub-national ministry or agency,Not Reported,Secretaria de Estado de Meio Ambiente do Acre,Not Reported,State Verified,1802,BR-AC,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,12
11863,61767,61767,1,Purus,Purus,Reserva Comunal,Communal Reserve,National,VI,Not Applicable,Designated,2004,Government-delegated management,State,Servicio Nacional de ├üreas Naturales Protegidas por el estado (SERNANP),http://sis.sernanp.gob.pe/biblioteca/?publicacion=1819,State Verified,1811,PE-UCA,PER,PER,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
81035,352278,352278,1,Riozinho do Alto Envira,Riozinho do Alto Envira,Terra Ind├¡gena,Indigenous Area,National,Not Reported,Not Applicable,Designated,2007,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AC,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
13518,67692,67692,1,├ürea De Relevante Interesse Ecol├│gica Projeto Din├ómica Biol├│gica De Fragmentos Florestais,├ürea De Relevante Interesse Ecol├│gica Projeto Din├ómica Biol├│gica De Fragmentos Florestais,├ürea de Relevante Interesse Ecol├│gico,Area of Relevant Ecological Interest,National,IV,Not Applicable,Designated,1985,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
80936,352144,352144,1,├ürea De Prote├º├úo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi├í-Apuauzinho,├ürea De Prote├º├úo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi├í-Apuauzinho,├ürea de Prote├º├úo Ambiental,Environmental Protection Area,National,V,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,1
14488,81004,81004,1,Alto Andina de la Chinchilla,Alto Andina de la Chinchilla,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Designated,1992,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Y,ARG,ARG,Not Applicable,Not Applicable,144,25,38,,,Bolivia,AAO,0,,South America,3
14488,81004,81004,1,Alto Andina de la Chinchilla,Alto Andina de la Chinchilla,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Designated,1992,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Y,ARG,ARG,Not Applicable,Not Applicable,145,117,0,,,,,0,,South America,3
16963,95320,95320,1,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,79
56535,220296,220296,1,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,79
16963,95320,95320,1,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,79
80734,351777,351777,1,Reserva Extrativista Auat├¡-Paran├í,Reserva Extrativista Auat├¡-Paran├í,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,111,114,0,,,,,0,,South America,79
